Order ID,Order Date,Customer Name,Country,State,City,Region,Segment,Ship Mode,Category,Sub-Category,Product Name,Discount,Sales,Profit,Quantity,Feedback?
BN-2011-7407039,2011-01-01,Fajar Nugroho,Indonesia,Bali,Denpasar,Timur,Home Office,Economy Plus,Office Supplies,Paper,Buku Tulis A5,0.5,39000,7679,3,False
AZ-2011-9050313,2011-01-03,Fajar Nugroho,Indonesia,Jawa Timur,Malang,Tengah,Consumer,Economy,Furniture,Bookcases,Meja Kerja,0.0,9275000,2287011,7,True
AZ-2011-6674300,2011-01-04,Nurul Hidayah,Indonesia,Kalimantan Timur,Balikpapan,Timur,Consumer,Economy,Office Supplies,Art,Kertas HVS A4,0.0,141000,14023,3,True
BN-2011-2819714,2011-01-04,Rizky Hidayat,Indonesia,Jawa Timur,Malang,Tengah,Corporate,Economy,Office Supplies,Art,Kertas HVS A4,0.5,48500,11246,2,True
BN-2011-2819714,2011-01-04,Ahmad Fauzi,Indonesia,Jawa Barat,Bandung,Barat,Corporate,Economy,Office Supplies,Storage,Map Plastik,0.5,10000,2445,2,True
AZ-2011-617423,2011-01-05,Bagus Setiawan,Indonesia,Jawa Tengah,Semarang,Tengah,Home Office,Priority,Office Supplies,Art,Map Plastik,0.0,121500,24668,3,False
AZ-2011-617423,2011-01-05,Rizky Hidayat,Indonesia,Jawa Barat,Bogor,Barat,Home Office,Priority,Office Supplies,Art,Pulpen Gel,0.0,204000,43937,4,False
AZ-2011-2918397,2011-01-07,Andi Pratama,Indonesia,Sumatera Utara,Medan,Barat,Corporate,Priority,Furniture,Bookcases,Kursi Kantor,0.1,1597500,293527,1,True
AZ-2011-2918397,2011-01-07,Citra Ayuningtyas,Indonesia,Jawa Timur,Malang,Tengah,Corporate,Priority,Office Supplies,Fasteners,Sticky Notes,0.0,136500,22910,3,True
AZ-2011-2918397,2011-01-07,Ilham Ramadhan,Indonesia,DKI Jakarta,Jakarta,Barat,Corporate,Priority,Office Supplies,Storage,Buku Tulis A5,0.1,61200,10036,4,True
BN-2011-3248724,2011-01-08,Farhan Akbar,Indonesia,Jawa Barat,Bekasi,Barat,Consumer,Economy,Furniture,Bookcases,Meja Lipat,0.6,3780000,419550,6,True
BN-2011-3248724,2011-01-08,Siti Aisyah,Indonesia,Jawa Tengah,Semarang,Tengah,Consumer,Economy,Office Supplies,Art,Pulpen Gel,0.5,87500,20035,5,False
AZ-2011-6712797,2011-01-11,Putri Maharani,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Consumer,Economy,Office Supplies,Binders,Binder A4,0.0,135000,18425,3,True
AZ-2011-4827146,2011-01-11,Citra Ayuningtyas,Indonesia,DI Yogyakarta,Yogyakarta,Tengah,Consumer,Economy,Office Supplies,Art,Pulpen Gel,0.0,30000,4302,1,True
